GRE.Score,TOEFL.Score,University.Rating,SOP,LOR,CGPA,Research,Chance.of.Admit,fitted.Chance.of.Admit,ID
319,110,3,3,2.5,8.79,0,0.72,0.731611355483494,229
332,118,5,5,5,9.47,1,0.94,0.943268469525691,230
323,108,5,4,4,8.74,1,0.81,0.805673280202278,231
312,107,3,3,3,8.46,1,0.75,0.706871931840687,232
326,110,3,3.5,3.5,8.76,1,0.79,0.775380320928379,233
308,106,3,3,3,8.24,0,0.58,0.63835915115085,234
305,103,2,2.5,3.5,8.13,0,0.59,0.597681376137388,235
295,96,2,1.5,2,7.34,0,0.47,0.443909370120155,236
304,97,2,1.5,2,7.64,0,0.47,0.515044106961712,237
299,94,1,1,1,7.34,0,0.42,0.466233924238049,238
302,99,1,2,2,7.25,0,0.57,0.474516364514015,239
313,101,3,2.5,3,8.04,0,0.62,0.618931967020351,240
318,107,3,3,3.5,8.27,1,0.74,0.704093576794899,241
303,100,2,3,3.5,8.06,1,0.64,0.604032287597564,242
327,109,3,3.5,4,8.77,1,0.79,0.780995450236604,243
301,104,2,3.5,3.5,7.89,1,0.68,0.591802113664899,244
314,105,2,2.5,2,7.64,0,0.7,0.552075926036953,245
321,107,2,2,1.5,8.44,0,0.81,0.663432240040552,246
322,110,3,4,5,8.64,1,0.85,0.78573673852327,247
334,116,4,4,3.5,9.54,1,0.93,0.901961037609816,248
306,103,2,2.5,3,8.36,0,0.69,0.623549656371808,249
320,104,3,3.5,4.5,8.34,1,0.74,0.721028305123845,250
311,98,1,1,2.5,7.46,0,0.57,0.527352282494224,251
298,92,1,2,2,7.88,0,0.51,0.528421553175164,252
336,119,4,4.5,4,9.62,1,0.95,0.928168764718558,253
315,105,2,2,2.5,7.65,0,0.39,0.557850514617602,254
304,101,2,2,2.5,7.66,0,0.38,0.525272543820318,255
303,98,1,2,2.5,7.65,0,0.56,0.527948320901832,256
311,99,1,2.5,3,8.43,1,0.71,0.668164384960509,257
322,104,3,3.5,4,8.84,1,0.78,0.767104516753004,258
324,110,4,4.5,4,9.15,1,0.82,0.841428662182951,259
300,100,3,3,3.5,8.26,0,0.62,0.612219589006531,260
340,113,4,5,5,9.74,1,0.96,0.939438709937937,261
335,117,5,5,5,9.82,1,0.96,0.977136349215396,262
302,101,2,2.5,3.5,7.96,0,0.46,0.564438471868975,263
307,105,2,2,3.5,8.1,0,0.53,0.602782493812639,264
296,97,2,1.5,2,7.8,0,0.49,0.505543580821588,265
320,108,3,3.5,4,8.44,1,0.76,0.735258738250817,266
314,102,2,2,2.5,8.24,0,0.64,0.623674673238858,267
318,106,3,2,3,8.65,0,0.71,0.710369743690011,268
326,112,4,4,3.5,9.12,1,0.84,0.839928184004162,269
317,104,2,3,3,8.76,0,0.77,0.699716438886339,270
329,111,4,4.5,4,9.23,1,0.89,0.857393233757549,271
324,110,3,3.5,3.5,9.04,1,0.82,0.802731969733212,272
325,107,3,3,3.5,9.11,1,0.84,0.801310842660409,273
312,103,3,3.5,4,8.78,0,0.67,0.722354011649421,274
333,117,4,5,4,9.66,1,0.95,0.924845513896253,275
304,100,2,3.5,3,8.22,0,0.63,0.59617711615003,276
315,105,2,3,3,8.34,0,0.66,0.646015825490096,277
324,109,3,3.5,3,8.94,1,0.78,0.783691792860736,278
330,116,4,4,3.5,9.23,1,0.91,0.868025995752318,279
311,101,3,2,2.5,7.64,1,0.62,0.596221462202782,280
302,99,3,2.5,3,7.45,0,0.52,0.513608642122322,281
297,101,3,2,4,7.67,1,0.57,0.571004638947206,282
300,98,1,2,2.5,8.02,0,0.61,0.562828512497147,283
301,96,1,3,4,7.56,0,0.54,0.523696725841612,284
313,94,2,2.5,1.5,8.13,0,0.56,0.593724698412037,285
314,102,4,2.5,2,7.88,1,0.59,0.648677397452975,286
321,110,4,3.5,4,8.35,1,0.72,0.753977042094576,287
327,106,4,4,4.5,8.75,1,0.76,0.798354107340749,288
315,104,3,4,2.5,8.1,0,0.65,0.630866500486996,289
316,103,3,3.5,2,7.68,0,0.52,0.577462971820297,290
309,111,2,2.5,4,8.03,0,0.6,0.616039117929103,291
308,102,2,2,3.5,7.98,1,0.58,0.616745557110747,292
299,100,3,2,3,7.42,0,0.42,0.500559758421869,293
321,112,3,3,4.5,8.95,1,0.77,0.812312469115901,294
325,114,5,4,5,9.46,1,0.91,0.92357594450943,295
323,111,5,4,5,9.86,1,0.92,0.953239235526721,296
312,106,3,3,5,8.57,0,0.71,0.721268966693133,297
316,103,2,2,4.5,8.74,0,0.69,0.715297022596969,298
340,115,5,5,4.5,9.06,1,0.95,0.878619993658455,299
320,112,2,3.5,3.5,8.78,1,0.73,0.757616213056321,300
324,112,4,4.5,4,9.22,1,0.86,0.855442463972987,301
316,111,4,4,5,8.54,0,0.71,0.753936619260693,302
309,105,2,2.5,4,7.68,0,0.55,0.563866089816392,303
310,110,1,1.5,4,7.23,1,0.58,0.587294572700765,304
317,106,1,1.5,3.5,7.65,1,0.61,0.626014292739687,305
318,110,1,2.5,3.5,8.54,1,0.67,0.733777798410099,306
312,105,2,1.5,3,8.46,0,0.66,0.654327431841855,307
305,104,2,2.5,1.5,7.79,0,0.53,0.544426251618972,308
332,112,1,1.5,3,8.66,1,0.79,0.761698382140931,309
331,116,4,4.5,4.5,9.44,1,0.92,0.906549564459682,310
321,114,5,4.5,4.5,9.16,1,0.87,0.876159254014656,311
324,113,5,4,5,9.25,1,0.92,0.89710356852565,312
327,118,4,5,5,9.67,1,0.93,0.946476562632128,313
320,108,3,3.5,5,8.97,1,0.84,0.810997448943914,314
312,109,2,2.5,4,9.02,0,0.8,0.74134175886572,315
315,101,3,3.5,4.5,9.13,0,0.79,0.77783885495376,316
320,112,4,3,4.5,8.86,1,0.82,0.821621948161483,317
328,116,4,5,3.5,9.6,1,0.93,0.905589278124097,318
319,103,3,2.5,4,8.76,1,0.73,0.751344446545725,319
299,100,2,2,2,7.88,0,0.51,0.531016886428333,320
312,100,1,3,3,8.53,1,0.69,0.683978514017556,321
301,102,3,2.5,2,8.13,1,0.68,0.618552092746827,322
307,105,4,3,3,7.94,0,0.62,0.617556875428854,323
304,107,3,3.5,3,7.86,0,0.57,0.58165013061477,324
318,101,5,3.5,5,8.78,1,0.78,0.800950147255704,325
323,110,4,4,5,8.88,1,0.81,0.832252126659512,326
326,114,4,4,3.5,9.16,1,0.86,0.850916769887822,327
320,110,5,4,4,9.27,1,0.87,0.86379688169726,328
311,103,3,2,4,8.09,0,0.64,0.635550182351353,329
327,116,4,4,4.5,9.48,1,0.9,0.90825489315442,330
300,101,3,3.5,2.5,7.88,0,0.59,0.558045683932958,331
304,104,3,2.5,2,8.12,0,0.62,0.602668738867256,332
318,103,3,4,4.5,8.49,1,0.71,0.730466297874367,333
325,110,4,4.5,4,8.96,1,0.79,0.822554379771236,334
321,102,3,3.5,4,9.01,1,0.8,0.777374147105054,335
323,107,4,3,2.5,8.48,1,0.78,0.74427836918804,336
328,113,4,4,2.5,8.77,1,0.83,0.799207528645889,337
304,103,5,5,3,7.92,0,0.71,0.618121586472702,338
317,106,3,3.5,3,7.89,1,0.73,0.654175130296339,339
311,101,2,2.5,3.5,8.34,1,0.7,0.658973718042014,340
319,102,3,2.5,2.5,8.37,0,0.68,0.668131291884813,341
322,112,3,3,4,8.62,1,0.76,0.770073171241517,342
302,110,3,4,4.5,8.5,0,0.65,0.679415059394162,343
307,105,2,2.5,4.5,8.12,1,0.67,0.653992725992609,344
298,101,4,2.5,4.5,7.69,1,0.53,0.606183394329269,345
300,95,2,3,1.5,8.22,1,0.62,0.582489120711561,346
301,99,3,2.5,2,8.45,1,0.68,0.642901732499575,347
332,108,5,4.5,4,9.02,1,0.87,0.841853082752128,348
330,120,5,4.5,5,9.56,1,0.93,0.958992529736499,349
312,103,4,4,5,8.43,0,0.73,0.719895460102228,350
327,113,4,4.5,4.5,9.04,0,0.84,0.8219052822198,351
