ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
237,304,97,2,1.5,2,7.64,0,0.47
238,299,94,1,1,1,7.34,0,0.42
239,302,99,1,2,2,7.25,0,0.57
240,313,101,3,2.5,3,8.04,0,0.62
241,318,107,3,3,3.5,8.27,1,0.74
242,303,100,2,3,3.5,8.06,1,0.64
243,327,109,3,3.5,4,8.77,1,0.79
244,301,104,2,3.5,3.5,7.89,1,0.68
245,314,105,2,2.5,2,7.64,0,0.7
246,321,107,2,2,1.5,8.44,0,0.81
247,322,110,3,4,5,8.64,1,0.85
248,334,116,4,4,3.5,9.54,1,0.93
249,306,103,2,2.5,3,8.36,0,0.69
250,320,104,3,3.5,4.5,8.34,1,0.74
251,311,98,1,1,2.5,7.46,0,0.57
252,298,92,1,2,2,7.88,0,0.51
253,336,119,4,4.5,4,9.62,1,0.95
254,315,105,2,2,2.5,7.65,0,0.39
255,304,101,2,2,2.5,7.66,0,0.38
256,303,98,1,2,2.5,7.65,0,0.56
257,311,99,1,2.5,3,8.43,1,0.71
258,322,104,3,3.5,4,8.84,1,0.78
259,324,110,4,4.5,4,9.15,1,0.82
260,300,100,3,3,3.5,8.26,0,0.62
261,340,113,4,5,5,9.74,1,0.96
262,335,117,5,5,5,9.82,1,0.96
263,302,101,2,2.5,3.5,7.96,0,0.46
264,307,105,2,2,3.5,8.1,0,0.53
265,296,97,2,1.5,2,7.8,0,0.49
266,320,108,3,3.5,4,8.44,1,0.76
267,314,102,2,2,2.5,8.24,0,0.64
268,318,106,3,2,3,8.65,0,0.71
269,326,112,4,4,3.5,9.12,1,0.84
270,317,104,2,3,3,8.76,0,0.77
271,329,111,4,4.5,4,9.23,1,0.89
272,324,110,3,3.5,3.5,9.04,1,0.82
273,325,107,3,3,3.5,9.11,1,0.84
274,312,103,3,3.5,4,8.78,0,0.67
275,333,117,4,5,4,9.66,1,0.95
276,304,100,2,3.5,3,8.22,0,0.63
277,315,105,2,3,3,8.34,0,0.66
278,324,109,3,3.5,3,8.94,1,0.78
279,330,116,4,4,3.5,9.23,1,0.91
280,311,101,3,2,2.5,7.64,1,0.62
281,302,99,3,2.5,3,7.45,0,0.52
282,297,101,3,2,4,7.67,1,0.57
283,300,98,1,2,2.5,8.02,0,0.61
284,301,96,1,3,4,7.56,0,0.54
285,313,94,2,2.5,1.5,8.13,0,0.56
286,314,102,4,2.5,2,7.88,1,0.59
287,321,110,4,3.5,4,8.35,1,0.72
288,327,106,4,4,4.5,8.75,1,0.76
289,315,104,3,4,2.5,8.1,0,0.65
290,316,103,3,3.5,2,7.68,0,0.52
291,309,111,2,2.5,4,8.03,0,0.6
292,308,102,2,2,3.5,7.98,1,0.58
293,299,100,3,2,3,7.42,0,0.42
294,321,112,3,3,4.5,8.95,1,0.77
295,325,114,5,4,5,9.46,1,0.91
296,323,111,5,4,5,9.86,1,0.92
297,312,106,3,3,5,8.57,0,0.71
298,316,103,2,2,4.5,8.74,0,0.69
299,340,115,5,5,4.5,9.06,1,0.95
300,320,112,2,3.5,3.5,8.78,1,0.73
301,324,112,4,4.5,4,9.22,1,0.86
302,316,111,4,4,5,8.54,0,0.71
303,309,105,2,2.5,4,7.68,0,0.55
304,310,110,1,1.5,4,7.23,1,0.58
305,317,106,1,1.5,3.5,7.65,1,0.61
306,318,110,1,2.5,3.5,8.54,1,0.67
307,312,105,2,1.5,3,8.46,0,0.66
308,305,104,2,2.5,1.5,7.79,0,0.53
309,332,112,1,1.5,3,8.66,1,0.79
310,331,116,4,4.5,4.5,9.44,1,0.92
311,321,114,5,4.5,4.5,9.16,1,0.87
312,324,113,5,4,5,9.25,1,0.92
313,327,118,4,5,5,9.67,1,0.93
314,320,108,3,3.5,5,8.97,1,0.84
315,312,109,2,2.5,4,9.02,0,0.8
316,315,101,3,3.5,4.5,9.13,0,0.79
317,320,112,4,3,4.5,8.86,1,0.82
318,328,116,4,5,3.5,9.6,1,0.93
319,319,103,3,2.5,4,8.76,1,0.73
320,299,100,2,2,2,7.88,0,0.51
321,312,100,1,3,3,8.53,1,0.69
322,301,102,3,2.5,2,8.13,1,0.68
323,307,105,4,3,3,7.94,0,0.62
324,304,107,3,3.5,3,7.86,0,0.57
325,318,101,5,3.5,5,8.78,1,0.78
326,323,110,4,4,5,8.88,1,0.81
327,326,114,4,4,3.5,9.16,1,0.86
328,320,110,5,4,4,9.27,1,0.87
329,311,103,3,2,4,8.09,0,0.64
330,327,116,4,4,4.5,9.48,1,0.9
331,300,101,3,3.5,2.5,7.88,0,0.59
332,304,104,3,2.5,2,8.12,0,0.62
333,318,103,3,4,4.5,8.49,1,0.71
334,325,110,4,4.5,4,8.96,1,0.79
335,321,102,3,3.5,4,9.01,1,0.8
336,323,107,4,3,2.5,8.48,1,0.78
337,328,113,4,4,2.5,8.77,1,0.83
338,304,103,5,5,3,7.92,0,0.71
339,317,106,3,3.5,3,7.89,1,0.73
340,311,101,2,2.5,3.5,8.34,1,0.7
341,319,102,3,2.5,2.5,8.37,0,0.68
342,322,112,3,3,4,8.62,1,0.76
343,302,110,3,4,4.5,8.5,0,0.65
344,307,105,2,2.5,4.5,8.12,1,0.67
345,298,101,4,2.5,4.5,7.69,1,0.53
346,300,95,2,3,1.5,8.22,1,0.62
347,301,99,3,2.5,2,8.45,1,0.68
348,332,108,5,4.5,4,9.02,1,0.87
349,330,120,5,4.5,5,9.56,1,0.93
350,312,103,4,4,5,8.43,0,0.73
351,327,113,4,4.5,4.5,9.04,0,0.84
